model,pattern,topk,n_samples,em,f1,bleu,rouge1,rouge2,rougeL,meteor,bertscore_f1,bertscore_p
DeepSeek-R1-Distill-Qwen-1.5B-GGUF,baseline,1,500,0.0,0.2089001727068309,0.0465515680982857,0.2656614557516781,0.0833788018952592,0.2007990140026199,0.2171137967356102,0.7897674320936203,
DeepSeek-R1-Distill-Qwen-1.5B-GGUF,rag,1,500,0.0,0.1295089208844118,0.0178675667051828,0.1797704358414613,0.0627838063890584,0.1424780744637741,0.19266403329145,0.7026022538542748,
DeepSeek-R1-Distill-Qwen-1.5B-GGUF,rag,5,500,0.002,0.1740879115444209,0.0251732178019481,0.2286026152252219,0.0827419059127287,0.1734281635942509,0.2285247282345487,0.7540378272533417,
DeepSeek-R1-Distill-Qwen-1.5B-GGUF,rag,10,500,0.0,0.1787708555898853,0.0249430449408627,0.2350953323908383,0.0824751413533933,0.1726193198673389,0.2315092731671101,0.7596667436361313,
DeepSeek-R1-Distill-Qwen-1.5B-GGUF,rag_graphs,1,500,0.0,0.122447937107981,0.0184006344744334,0.1726364387795572,0.0582453955204987,0.1359461753204447,0.1895536021514179,0.7000410345196724,
DeepSeek-R1-Distill-Qwen-1.5B-GGUF,rag_graphs,5,500,0.0,0.1571124532074521,0.0215314657371108,0.2091596640028228,0.069541052243095,0.1550680255895676,0.2149021827202648,0.7520557460784912,
DeepSeek-R1-Distill-Qwen-1.5B-GGUF,rag_graphs,10,500,0.0,0.1819187773223812,0.0313203309820499,0.2423702810831913,0.082814327877067,0.1767797809462024,0.2468245736859085,0.7753949012756348,
DeepSeek-R1-Distill-Qwen-1.5B-GGUF,rag_routing,1,500,0.0,0.1201998778475786,0.0175251953345566,0.1700576969638462,0.0562102943408785,0.1352609860581885,0.1803850572848767,0.6935284655094147,
DeepSeek-R1-Distill-Qwen-1.5B-GGUF,rag_routing,5,500,0.0,0.1682345785163396,0.0227705684959891,0.2247916401076873,0.0784089948005295,0.1657250568696874,0.2283536086974369,0.7586787285804748,
DeepSeek-R1-Distill-Qwen-1.5B-GGUF,rag_routing,10,500,0.0,0.1666794538043226,0.0254172181172577,0.2256101333443856,0.0713475973572809,0.1625170373383785,0.2332479786092137,0.7634171400666236,
DeepSeek-R1-Distill-Qwen-1.5B-GGUF,rag_collaboration,1,500,0.0,0.114603268459717,0.0156772563455562,0.1621959896800326,0.0439461905873641,0.1240399090911203,0.1808269801050167,0.7091126648187638,
DeepSeek-R1-Distill-Qwen-1.5B-GGUF,rag_collaboration,5,500,0.0,0.1386253846704379,0.017663969309386,0.1888246296191113,0.0548870614376541,0.1393402470253478,0.2043817139101164,0.7420616352558136,
DeepSeek-R1-Distill-Qwen-1.5B-GGUF,rag_collaboration,10,500,0.0,0.1496040243043647,0.0214490022969089,0.2034171954302209,0.061052669056015,0.1482598513613831,0.2221506483270563,0.7551481657028198,
DeepSeek-R1-Distill-Qwen-1.5B-GGUF,rag_self_refinement,1,500,0.0,0.1082200811217872,0.0190418193744322,0.1585142039494064,0.0488758623021727,0.1191284754014819,0.2216974458617878,0.7322899450063706,
DeepSeek-R1-Distill-Qwen-1.5B-GGUF,rag_self_refinement,5,500,0.0,0.1095882600036154,0.0186314493940624,0.1585338723730665,0.0492695143942887,0.119207208705389,0.2255585521480044,0.7310835080146789,
DeepSeek-R1-Distill-Qwen-1.5B-GGUF,rag_self_refinement,10,498,0.0,0.1154092003776606,0.0182587762779677,0.1669423388995476,0.0522041762663283,0.1235026090883437,0.2272378762018397,0.7370071406345291,
