model,pattern,topk,n_samples,em,f1,bleu,rouge1,rouge2,rougeL,meteor,bertscore_f1,bertscore_p
DeepSeek-R1-Distill-Qwen-1.5B-GGUF,baseline,1,500,0.0,0.2174114593687632,0.0609286848815117,0.3048837516035527,0.1091990643054837,0.2154839945534779,0.2307146534536669,0.8012683836221695,
DeepSeek-R1-Distill-Qwen-1.5B-GGUF,rag,1,500,0.0,0.2433439956095725,0.0595914033423237,0.3328506264792986,0.134639503174215,0.2384488781820014,0.2408161819495487,0.8141994783878327,
DeepSeek-R1-Distill-Qwen-1.5B-GGUF,rag,5,500,0.0,0.2420666370429316,0.0703906890981286,0.334694868092994,0.1277240524051917,0.2348170439138779,0.257605641484301,0.8089017171859741,
DeepSeek-R1-Distill-Qwen-1.5B-GGUF,rag,10,500,0.0,0.2448881869870978,0.0741317556958758,0.3421630362146348,0.134725001008633,0.2363860923518193,0.2622123713825689,0.815047081708908,
DeepSeek-R1-Distill-Qwen-1.5B-GGUF,rag_graphs,1,500,0.0,0.2455797203708452,0.0596664808909144,0.3352051624598882,0.1364043325535316,0.2401563705258974,0.2448388246288404,0.8148357670307159,
DeepSeek-R1-Distill-Qwen-1.5B-GGUF,rag_graphs,5,500,0.0,0.2412705039155099,0.0748033883325589,0.3366088972979816,0.1330653555816799,0.2361788545834292,0.2645259460070588,0.812154448390007,
DeepSeek-R1-Distill-Qwen-1.5B-GGUF,rag_graphs,10,500,0.0,0.2261609731747051,0.0684140361614705,0.319281941751747,0.11584960610497,0.217664466058637,0.2533163354951454,0.8061495310068131,
DeepSeek-R1-Distill-Qwen-1.5B-GGUF,rag_routing,1,500,0.0,0.2458229314996213,0.0614156396698509,0.3373896406167021,0.134908716475866,0.24168091450247,0.2448885659174539,0.8153035298585892,
DeepSeek-R1-Distill-Qwen-1.5B-GGUF,rag_routing,5,500,0.0,0.2406011354164384,0.0749439163927427,0.3367409224989589,0.1326876657701724,0.2358598600510205,0.2638383858724716,0.8132170577049256,
DeepSeek-R1-Distill-Qwen-1.5B-GGUF,rag_routing,10,500,0.0,0.2240014229168704,0.0696402477502517,0.3166333044427378,0.1152304533344398,0.2165397246694417,0.250635897070936,0.8054102302789689,
DeepSeek-R1-Distill-Qwen-1.5B-GGUF,rag_collaboration,1,500,0.0,0.2088800097805841,0.0492704800806194,0.2843029973697726,0.1104820449288909,0.2055376322196818,0.207341345981268,0.781951205611229,
DeepSeek-R1-Distill-Qwen-1.5B-GGUF,rag_collaboration,5,500,0.0,0.1876668438149435,0.0534608390613202,0.2629548265027279,0.0904500324820931,0.1858610730227067,0.2033850935488961,0.767111230134964,
DeepSeek-R1-Distill-Qwen-1.5B-GGUF,rag_collaboration,10,500,0.0,0.178771251400851,0.0477415480789776,0.250733549720783,0.0785892024488058,0.1710755690656015,0.2003522707170165,0.7721432098150254,
DeepSeek-R1-Distill-Qwen-1.5B-GGUF,rag_self_refinement,10,500,0.0,0.2027063272133588,0.055035681002868,0.2869732457923987,0.0976485093694723,0.1936788986239062,0.2447116694174276,0.792475642323494,
Qwen2.5-3B,baseline,1,500,0.0,0.2545402526099833,0.0518180468207879,0.3335528625211025,0.1353631941485055,0.2493633464265235,0.2350535319334194,0.8155414975881576,
Qwen2.5-3B,rag,1,500,0.0,0.2709787572106966,0.0606586581356252,0.3501034772304672,0.1575701728503681,0.2622363544256679,0.2539147258337838,0.8212811458110809,
Qwen2.5-3B,rag,5,500,0.0,0.2728123775793236,0.0678058654980107,0.3516517765723312,0.1609369696847072,0.2614148156025898,0.2648059338141451,0.8217559895515442,
Qwen2.5-3B,rag,10,500,0.0,0.2742970129235269,0.0677197288008932,0.3534486500884903,0.1603496728221488,0.2623303535097172,0.2673169340128051,0.821960627913475,
Qwen2.5-3B,rag_graphs,1,500,0.0,0.2746375167625587,0.0604446414108496,0.3535019010305558,0.1594758175938647,0.2639621378337461,0.2541558183952334,0.8215269119739532,
Qwen2.5-3B,rag_graphs,5,500,0.0,0.2692316277185843,0.0727222703536185,0.3538629256377356,0.1591253723727297,0.2642707796243001,0.2689468002097294,0.820775235414505,
Qwen2.5-3B,rag_graphs,10,500,0.0,0.2671715878588309,0.0718387594581581,0.3505086376988079,0.1575564470906685,0.2576640241537909,0.2658676018198385,0.8206259572505951,
Qwen2.5-3B,rag_routing,1,500,0.0,0.2748402980741131,0.0602288789105059,0.3545489459479172,0.160076034556064,0.2666731999232571,0.2548307610054683,0.8224645594358444,
Qwen2.5-3B,rag_routing,5,500,0.0,0.2659831312201411,0.0728592018961006,0.3505135509236761,0.1579519451193999,0.2602943037168271,0.2678450051295485,0.8201694787740708,
Qwen2.5-3B,rag_routing,10,500,0.0,0.2696703104593928,0.0716409732927872,0.350722861248679,0.1571298792753403,0.2613425885241141,0.2667968748702919,0.8203904618024827,
Qwen2.5-3B,rag_collaboration,1,500,0.0,0.2584352696027985,0.0539879281243911,0.3329531038238883,0.1448984141118549,0.2465751668813736,0.2391383507738777,0.8153889396190643,
Qwen2.5-3B,rag_collaboration,5,500,0.0,0.2473477837402062,0.0599280676546459,0.3247179174923814,0.1363642363891219,0.2394749452733977,0.2426694386474107,0.8134541716575623,
Qwen2.5-3B,rag_collaboration,10,500,0.0,0.2483088502389166,0.0596489830886776,0.32384254225013,0.1385535897714632,0.2346109098635311,0.2399998808705967,0.8132978717088699,
Qwen2.5-3B,rag_self_refinement,1,500,0.0,0.2608948994489607,0.0493029414688486,0.3323083735734016,0.147542126329891,0.2523416584594929,0.2366364374049352,0.8185683654546738,
Qwen2.5-3B,rag_self_refinement,5,500,0.0,0.2499434447933941,0.0494636073661516,0.3230010607713514,0.1392694452655768,0.2417130176278323,0.2351762833726038,0.8142788572311401,
